Catalogues Name,Catalouge links,Category,Brands
Euro Pathik Linear_Catalog ,https://drive.google.com/file/d/19sH8B2tAbIrbZRtbkwG1QKrViPKbIWxi/view?usp=sharing,Liners,Euro Pathik
Prodek Touch Title & inside Catlouge,https://drive.google.com/file/d/1cIPm65FIjgGIkOQ1SeMKFZkgSwzGbErQ/view?usp=sharing,Liners,Prodeck
Miglam,https://drive.google.com/file/d/1dsUM9pL8iQQVkWJ8lYCoeFJtdQ6roOxV/view?usp=sharing,Liners,Miglam
MerinoLiner ,https://drive.google.com/file/d/1A5LX2IjluCUdfdNSK8giC7wDBA7tA5LN/view?usp=sharing,Liners,Merino
