Catalogues Name,Catalouge links,Category,Brand
Euro Pathik Wainscot_2021,https://drive.google.com/file/d/1U57Joq_6mr6BrUrUFYEuAXGMVHgvh3sn/view?usp=sharing,Mouldings,Euro Pathik 
Euro Pathik WAINSCOAT_vol_2,https://drive.google.com/file/d/1fcQniFMnfoJFSC-FfNAbtAufat_LUsK3/view?usp=sharing,Mouldings,Euro Pathik 
MOULDING & CORNER BY DELIZIA INTERIOR[1],https://drive.google.com/file/d/1WIWjHFXUxy6skofbq6ra08KrTW02sqKc/view?usp=sharing,Mouldings,Delizia
MOULDING BY DELIZIA INTERIOR[1],https://drive.google.com/file/d/1fdEBeRfbX-jPHcnt8Ac1p749DDVLdhJ_/view?usp=sharing,Mouldings,Delizia
